Image,Predicted Label
6943_x_375_y_13309_z_125_top_2024_06_09_00_29_34_white.jpg,1
6943_x_1404_y_14365_z_125_top_2024_05_20_01_19_32_white.jpg,1
6943_x_1061_y_13460_z_125_top_2024_06_06_23_52_47_white.jpg,0
6943_x_32_y_14214_z_125_top_2024_05_02_01_12_05_white.jpg,1
6943_x_718_y_6976_z_125_top_2024_05_10_00_49_23_white.jpg,1
6943_x_1404_y_9690_z_125_top_2024_06_12_01_54_34_white.jpg,1
6943_x_2090_y_9841_z_125_top_2024_06_04_01_33_57_white.jpg,1
6943_x_1747_y_6372_z_125_top_2024_05_08_03_29_00_white.jpg,1
6943_x_2090_y_14365_z_125_top_2024_05_24_01_13_28_white.jpg,1
6943_x_2090_y_14063_z_125_top_2024_05_25_01_52_14_white.jpg,1
6943_x_2053_y_9539_z_125_top_2024_03_27_00_21_21_white.jpg,1
6943_x_2300_y_11047_z_125_top_2024_05_01_02_21_38_white.jpg,0
6943_x_32_y_6372_z_125_top_2024_05_05_03_08_25_white.jpg,0
6943_x_1747_y_9690_z_125_top_2024_06_03_23_12_17_white.jpg,1
6943_x_1089_y_14214_z_125_top_2024_04_27_00_06_23_white.jpg,0
6943_x_1404_y_9841_z_125_top_2024_06_10_23_10_51_white.jpg,1
6943_x_2090_y_14063_z_125_top_2024_05_19_01_56_50_white.jpg,1
6943_x_1072_y_10595_z_125_top_2024_05_01_03_19_40_white.jpg,0
6943_x_2300_y_6372_z_125_top_2024_04_30_23_15_51_white.jpg,1
6943_x_1061_y_10745_z_125_top_2024_05_06_23_11_29_white.jpg,1
6943_x_2300_y_14968_z_125_top_2024_04_30_23_58_17_white.jpg,1
6943_x_1404_y_6372_z_125_top_2024_05_05_03_15_41_white.jpg,0
6943_x_718_y_13158_z_125_top_2024_06_07_00_31_43_white.jpg,0
6943_x_375_y_13761_z_125_top_2024_06_06_23_28_59_white.jpg,0
6943_x_718_y_14515_z_125_top_2024_05_20_23_38_44_white.jpg,0
6943_x_378_y_14515_z_125_top_2024_05_02_00_38_18_white.jpg,0
6943_x_375_y_13158_z_125_top_2024_06_05_00_56_55_white.jpg,0
6943_x_2090_y_6976_z_125_top_2024_05_04_03_16_25_white.jpg,1
6943_x_1747_y_9539_z_125_top_2024_06_12_02_16_07_white.jpg,0
6943_x_718_y_14365_z_125_top_2024_05_25_01_05_19_white.jpg,0
6943_x_725_y_15119_z_125_top_2024_04_30_23_27_24_white.jpg,1
6943_x_1747_y_15269_z_125_top_2024_05_18_23_53_23_white.jpg,1
6943_x_1089_y_14214_z_125_top_2024_04_23_00_02_24_white.jpg,1
6943_x_1404_y_14515_z_125_top_2024_05_18_23_11_12_white.jpg,1
6943_x_32_y_15269_z_125_top_2024_05_18_23_44_03_white.jpg,0
6943_x_1089_y_14666_z_125_top_2024_04_29_23_30_34_white.jpg,1
6943_x_125_y_14214_z_125_top_2024_04_28_00_06_33_white.jpg,0
6943_x_2113_y_6372_z_125_top_2024_04_30_23_14_03_white.jpg,1
6943_x_32_y_10896_z_125_top_2024_05_05_01_31_59_white.jpg,0
6943_x_1061_y_14063_z_125_top_2024_05_19_01_51_18_white.jpg,1
